"numeric_id","original_id"
1,14066
2,14854
3,14863
4,14873
5,15019
6,15029
7,15410
8,15433
9,15438
10,15446
11,15448
12,15454
13,15616
14,20104
15,20107
16,20119
17,20122
18,20124
19,20136
20,20138
21,20145
22,20301
23,20305
24,20307
25,20310
26,20316
27,20321
28,20322
29,20329
30,20340
31,20342
32,20343
33,20344
34,20355
35,20356
36,20501
37,20504
38,20517
39,20518
40,20519
41,20521
42,20522
43,20527
44,20529
45,20530
46,20533
47,20535
48,20537
49,20538
50,20542
51,20702
52,20703
53,20704
54,20705
55,20706
56,20708
57,20709
58,20712
59,20723
60,20724
61,20725
62,20729
63,20733
64,20738
65,20748
66,20749
67,20750
68,20755
69,20756
70,20757
71,20758
72,20759
73,20762
74,20902
75,20903
76,20907
77,20909
78,20916
79,20920
80,20926
81,20927
82,20934
83,20941
84,20944
85,20946
86,20952
87,20954
88,20955
89,20958
90,20959
91,21101
92,21102
93,21103
94,21105
95,21106
96,21108
97,21110
98,21116
99,21118
100,21123
101,21128
102,21132
103,21137
104,21139
105,21140
106,21142
107,21148
108,21149
109,21150
110,21162
111,21163
112,21165
113,21167
114,21172
115,21174
116,21178
117,21179
118,21187
119,21188
120,21191
121,21193
122,21196
123,21198
124,21302
125,21303
126,21304
127,21306
128,21307
129,21308
130,21309
131,21311
132,21312
133,21313
134,21314
135,21315
136,21321
137,21326
138,21328
139,21329
140,21330
141,21333
142,21337
143,21339
144,21340
145,21342
146,21343
147,21344
148,21346
149,21351
150,21352
151,21353
152,21355
153,21356
154,21358
155,21359
156,21360
157,21362
158,21364
159,21365
160,21366
161,21367
162,21368
163,21370
164,21371
165,21372
166,21373
167,21375
168,21500
169,21502
170,21503
171,21504
172,21506
173,21507
174,21508
175,21510
176,21513
177,21514
178,21515
179,21516
180,21519
181,21523
182,21525
183,21526
184,21529
185,21530
186,21531
187,21536
188,21538
189,21539
190,21540
191,21541
192,21542
193,21544
194,21545
195,21548
196,21551
197,21554
198,21556
199,21557
200,21559
201,21561
202,21562
203,21563
204,21564
205,21565
206,21566
207,21700
208,21701
209,21702
210,21703
211,21704
212,21705
213,21706
214,21707
215,21708
216,21709
217,21710
218,21711
219,21712
220,21713
221,21714
222,21715
223,21717
224,21718
225,21719
226,21720
227,21722
228,21723
229,21724
230,21725
231,21726
232,21727
233,21728
234,21730
235,21731
236,21732
237,21735
238,21736
239,21738
240,21739
241,21740
242,21741
243,21744
244,21745
245,21746
246,21747
247,21750
248,21753
249,21754
250,21755
251,21756
252,21757
253,21758
254,21759
255,21760
256,21761
257,21762
258,21763
259,21900
260,21901
261,21902
262,21903
263,21905
264,21906
265,21908
266,21910
267,21911
268,21912
269,21914
270,21915
271,21916
272,21917
273,21919
274,21920
275,21921
276,21922
277,21923
278,21924
279,21925
280,21926
281,21927
282,21928
283,21929
284,21930
285,21931
286,21934
287,21935
288,21936
289,21937
290,21938
291,21939
292,21940
293,21941
294,21942
295,21944
296,21945
297,21946
298,21948
299,21949
300,21950
301,21951
302,21952
303,21953
304,21954
305,21955
306,21956
307,21959
308,21961
309,21962
310,21964
311,21965
312,21966
313,21968
314,21969
315,21970
316,21971
317,21972
318,21973
319,21974
320,21975
321,21977
322,21978
323,21979
324,21981
325,21983
326,21984
327,21985
328,21986
329,21987
330,21988
331,21989
332,21990
333,22100
334,22101
335,22102
336,22103
337,22104
338,22105
339,22106
340,22107
341,22108
342,22109
343,22110
344,22111
345,22112
346,22113
347,22114
348,22115
349,22116
350,22117
351,22118
352,22119
353,22120
354,22121
355,22122
356,22123
357,22124
358,22125
359,22126
360,22127
361,22128
362,22129
363,22130
364,22131
365,22132
366,22133
367,22134
368,22135
369,22136
370,22137
371,22138
372,22139
373,22140
374,22141
375,22142
376,22143
377,22144
378,22145
379,22146
380,22147
381,22148
382,22149
383,22150
384,22151
385,22152
386,22153
387,22154
388,22155
389,22156
390,29106
391,29109
392,29312
393,29317
394,29323
395,29337
396,29339
397,29346
398,29368
399,29377
400,29378
401,29379
402,29393
403,29504
404,29550
405,29561
406,29571
407,29573
408,29588
409,29701
410,29707
411,29710
412,29717
413,29729
414,29741
415,29759
416,29760
417,29762
418,29768
419,29769
420,29776
421,29778
422,29901
423,29903
424,29908
425,29910
426,29911
427,31101
428,31102
429,31103
430,39301
431,39305
432,39307
433,91980
434,99912
435,99913
436,21749
437,22157
438,22158
439,22159
440,22160
441,22161
442,22162
443,22163
444,22164
445,22165
446,22166
447,21992
448,21993
449,21994
450,21996
