icpsr,party_code
14066,200
14657,200
14854,200
14863,200
14873,100
15019,100
15029,100
15124,100
15410,100
15431,100
15438,100
15446,200
15448,100
15454,100
15603,100
15612,100
15616,100
20104,100
20108,100
20119,100
20122,100
20124,200
20136,100
20138,200
20145,100
20147,100
20301,200
20305,100
20307,200
20310,100
20316,200
20321,100
20322,100
20325,200
20329,100
20340,100
20342,200
20343,100
20344,200
20355,200
20356,200
20357,200
20501,100
20504,100
20508,100
20517,100
20518,200
20519,100
20521,200
20522,200
20527,200
20529,100
20530,200
20531,200
20532,200
20533,100
20535,200
20537,100
20538,100
20542,100
20702,100
20703,200
20704,200
20705,100
20706,100
20708,100
20709,200
20712,100
20720,100
20723,100
20724,100
20725,200
20729,200
20733,100
20738,200
20748,100
20749,100
20750,100
20755,200
20756,200
20757,100
20758,200
20759,200
20762,100
20902,100
20903,200
20907,100
20909,200
20916,200
20920,100
20926,200
20927,100
20932,100
20934,100
20941,100
20944,100
20946,200
20947,200
20948,200
20952,100
20954,100
20955,100
20958,100
20959,100
20962,200
20963,200
21101,200
21102,100
21103,200
21105,200
21106,200
21108,200
21110,100
21111,200
21116,200
21118,100
21122,200
21123,200
21128,200
21132,200
21137,100
21139,200
21140,100
21142,200
21143,200
21148,200
21149,200
21150,200
21162,200
21163,200
21165,200
21167,200
21170,200
21172,100
21174,200
21178,200
21179,200
21182,200
21187,200
21188,200
21189,200
21191,200
21192,200
21193,200
21196,200
21198,100
21302,200
21303,100
21304,100
21305,200
21306,100
21308,100
21309,100
21311,100
21312,100
21313,100
21314,100
21315,100
21317,200
21321,100
21323,200
21324,100
21326,100
21328,200
21329,100
21330,200
21331,200
21333,200
21335,100
21337,200
21339,100
21340,100
21342,100
21343,100
21344,100
21345,200
21346,200
21348,200
21349,200
21351,200
21352,100
21353,200
21355,200
21356,200
21358,100
21359,200
21360,200
21362,100
21364,200
21365,100
21366,100
21367,200
21368,100
21369,100
21370,100
21371,100
21372,100
21373,200
21375,100
21376,200
21500,200
21502,100
21503,200
21504,100
21506,100
21507,100
21508,100
21510,200
21513,200
21514,200
21515,200
21516,200
21519,200
21522,200
21523,200
21525,100
21526,200
21529,100
21530,100
21531,200
21536,100
21538,100
21539,200
21540,100
21541,200
21542,200
21543,200
21544,200
21545,100
21548,100
21549,200
21550,200
21551,200
21554,100
21556,200
21557,200
21559,200
21561,200
21562,200
21563,200
21564,200
21565,200
21566,100
21700,200
21701,200
21702,200
21703,100
21704,200
21705,200
21706,100
21707,100
21708,200
21709,100
21710,200
21711,100
21712,100
21713,100
21714,200
21715,100
21717,200
21718,200
21719,200
21720,200
21722,100
21723,100
21724,200
21725,200
21726,100
21727,200
21728,100
21730,100
21731,200
21732,100
21734,200
21735,200
21736,100
21737,200
21738,100
21739,100
21740,100
21741,100
21742,200
21744,200
21745,200
21746,100
21747,100
21750,200
21751,200
21753,200
21754,100
21755,200
21756,100
21757,200
21758,200
21759,200
21760,200
21761,100
21762,100
21763,100
21900,100
21901,200
21902,100
21903,200
21904,100
21905,200
21906,100
21907,100
21908,200
21909,100
21910,100
21911,200
21912,100
21913,100
21914,100
21915,100
21916,100
21917,100
21918,100
21919,100
21920,200
21921,100
21922,100
21923,100
21924,200
21925,200
21926,200
21927,200
21928,100
21929,200
21930,100
21931,100
21932,100
21933,100
21934,100
21935,200
21936,200
21937,100
21938,100
21939,100
21940,100
21941,100
21942,100
21943,100
21944,100
21945,200
21946,200
21947,100
21948,100
21949,100
21950,100
21951,100
21952,200
21953,100
21954,100
21955,100
21956,200
21957,200
21958,100
21959,200
21960,100
21961,200
21962,100
21963,100
21964,100
21965,100
21966,100
21967,200
21968,100
21969,200
21970,200
21971,200
21972,100
21973,200
21974,200
21975,100
21976,100
21977,100
21978,100
21979,100
21980,100
21981,200
21982,200
21983,100
21984,200
29106,100
29109,100
29127,100
29134,100
29312,100
29317,100
29323,200
29337,100
29339,100
29346,100
29368,100
29375,200
29377,100
29378,100
29379,100
29393,200
29504,100
29550,200
29561,100
29571,100
29572,200
29573,100
29587,100
29588,100
29701,200
29707,100
29710,100
29717,100
29718,200
29729,100
29741,100
29760,200
29762,200
29768,100
29769,100
29776,100
29778,100
29901,100
29903,100
29908,100
29910,200
29911,100
29932,200
31101,100
31102,200
31103,100
39301,100
39305,100
39307,100
21992,200
21993,100
21994,100
21995,200
21996,100
21997,100
99912,200
21985,200
91143,328
21986,200
21987,200
91980,200
15433,100
21988,200
21989,200
21990,200
21991,100
91737,328
